Timestamp,Temperature_C,Min_Temp_C,Max_Temp_C,Avg_Temp_C,Weather_Label
2026-06-13 02:15:54,32.1,32.1,32.1,32.05,Warm
2026-06-13 02:16:04,32.4,32.1,32.4,32.24,Warm
2026-06-13 02:16:14,32.8,32.1,32.8,32.41,Warm
2026-06-13 02:16:24,19.1,19.1,32.8,29.08,Cold
2026-06-13 02:16:34,11.7,11.7,32.8,25.60,Cold
2026-06-13 02:16:44,8.0,8.0,32.8,22.67,Cold
2026-06-13 02:16:54,8.9,8.0,32.8,20.70,Cold
2026-06-13 02:17:04,9.7,8.0,32.8,19.33,Cold
2026-06-13 02:17:14,10.0,8.0,32.8,18.30,Cold
2026-06-13 02:17:24,9.7,8.0,32.8,17.44,Cold
2026-06-13 02:17:34,29.7,8.0,32.8,18.55,Normal
2026-06-13 02:17:44,33.2,8.0,33.2,19.77,Warm
2026-06-13 02:17:54,31.1,8.0,33.2,20.65,Warm
2026-06-13 02:18:04,32.4,8.0,33.2,21.48,Warm
2026-06-13 02:18:14,44.1,8.0,44.1,22.99,Hot
2026-06-13 02:18:24,47.1,8.0,47.1,24.50,Hot
2026-06-13 02:18:34,41.1,8.0,47.1,25.48,Hot
2026-06-13 02:18:44,35.3,8.0,47.1,26.02,Hot
2026-06-13 02:18:54,34.1,8.0,47.1,26.45,Warm
2026-06-13 02:19:04,16.2,8.0,47.1,25.94,Cold
2026-06-13 02:19:14,14.7,8.0,47.1,25.40,Cold
2026-06-13 02:19:24,11.7,8.0,47.1,24.78,Cold
2026-06-13 02:19:34,14.6,8.0,47.1,24.34,Cold
2026-06-13 02:19:44,12.5,8.0,47.1,23.84,Cold
2026-06-13 02:19:54,25.5,8.0,47.1,23.91,Normal
2026-06-13 02:20:04,32.4,8.0,47.1,24.24,Warm
2026-06-13 02:20:14,33.2,8.0,47.1,24.57,Warm
2026-06-13 02:20:24,33.7,8.0,47.1,24.89,Warm
2026-06-13 02:20:34,29.1,8.0,47.1,25.04,Normal
2026-06-13 02:20:44,30.2,8.0,47.1,25.21,Warm
2026-06-13 02:20:54,30.8,8.0,47.1,25.39,Warm
2026-06-13 02:21:04,31.4,8.0,47.1,25.58,Warm
2026-06-13 02:21:14,31.7,8.0,47.1,25.76,Warm
2026-06-13 02:21:24,32.7,8.0,47.1,25.97,Warm
2026-06-13 02:21:34,32.8,8.0,47.1,26.16,Warm
2026-06-13 02:21:44,44.4,8.0,47.1,26.67,Hot
2026-06-13 02:21:54,55.2,8.0,55.2,27.44,Hot
2026-06-13 02:22:04,39.0,8.0,55.2,27.74,Hot
2026-06-13 02:22:14,34.5,8.0,55.2,27.92,Warm
2026-06-13 02:22:24,23.5,8.0,55.2,27.81,Normal
2026-06-13 02:22:34,11.8,8.0,55.2,27.42,Cold
2026-06-13 02:22:44,9.8,8.0,55.2,27.00,Cold
2026-06-13 02:22:54,12.5,8.0,55.2,26.66,Cold
2026-06-13 02:23:04,24.3,8.0,55.2,26.60,Normal
2026-06-13 02:23:14,30.1,8.0,55.2,26.68,Warm
2026-06-13 02:23:24,30.0,8.0,55.2,26.76,Normal
2026-06-13 02:23:34,30.4,8.0,55.2,26.83,Warm
2026-06-13 02:23:44,30.7,8.0,55.2,26.91,Warm
2026-06-13 02:23:54,31.2,8.0,55.2,27.00,Warm
2026-06-13 02:24:04,31.4,8.0,55.2,27.09,Warm
2026-06-13 02:24:14,31.8,8.0,55.2,27.18,Warm
2026-06-13 02:24:24,31.9,8.0,55.2,27.27,Warm
2026-06-13 02:24:34,31.8,8.0,55.2,27.36,Warm
2026-06-13 02:24:44,22.4,8.0,55.2,27.27,Normal
2026-06-13 02:24:54,17.5,8.0,55.2,27.09,Cold
2026-06-13 02:25:04,19.9,8.0,55.2,26.96,Cold
2026-06-13 02:25:14,22.7,8.0,55.2,26.88,Normal
2026-06-13 02:25:24,20.8,8.0,55.2,26.78,Normal
2026-06-13 02:25:34,20.0,8.0,55.2,26.66,Cold
2026-06-13 02:25:44,16.3,8.0,55.2,26.49,Cold
2026-06-13 02:25:54,14.0,8.0,55.2,26.29,Cold
2026-06-13 02:26:04,12.9,8.0,55.2,26.07,Cold
2026-06-13 02:26:14,12.0,8.0,55.2,25.85,Cold
2026-06-13 02:26:24,10.5,8.0,55.2,25.61,Cold
2026-06-13 02:26:34,8.7,8.0,55.2,25.35,Cold
